region,cCh,deaths,cfr,cfr_risk
Adamaoua,681,9,1.3215859030837005,Medium
Centre,8751,242,2.76539824020112,Medium
East,1041,16,1.536983669548511,Medium
Far North,9997,332,3.320996298889667,High
Littoral,8491,189,2.225886232481451,Medium
North,5615,172,3.0632235084594837,High
North-West,1648,33,2.0024271844660197,Medium
South,1137,21,1.8469656992084433,Medium
South-West,4424,82,1.8535262206148282,Medium
West,3074,66,2.147039687703318,Medium
