region,cCh,deaths,cfr,cfr_risk
Adamaoua,733,7,0.9549795361527967,Low
Centre,3199,48,1.5004688965301656,Medium
East,1099,16,1.4558689717925388,Medium
Far North,3943,62,1.5724067968551865,Medium
Littoral,4276,71,1.6604303086997194,Medium
North,1557,25,1.605651894669236,Medium
North-West,1970,38,1.9289340101522845,Medium
South,863,13,1.5063731170336037,Medium
South-West,2761,51,1.8471568272365086,Medium
West,1503,26,1.7298735861610113,Medium
