region,cCh,deaths,cfr,cfr_risk
Centre,17,1,5.88235294117647,High
Far North,0,0,0.0,Low
Littoral,2774,128,4.6142754145638065,High
North,2,0,0.0,Low
South,0,0,0.0,Low
South-West,6352,156,2.455919395465995,Medium
West,0,0,0.0,Low
