region_en,TL,TR,Location,deaths,sCh,cCh,rainfall_avg,temp_avg,humidity_avg
Adamawa,2010-12-13,2010-12-19,8,0.0,0.0,0.0,0.0,20.811428571428568,58.151428571428575
Adamawa,2010-12-20,2010-12-26,8,0.0,0.0,0.0,0.005714285714285714,20.947142857142858,48.712857142857146
Adamawa,2010-12-27,2011-01-02,8,0.0,0.0,0.0,0.0,20.125714285714285,46.67714285714286
Adamawa,2011-01-01,2011-09-22,5,34.0,366.0,0.0,4.001169811320755,23.077471698113207,65.95056603773585
Adamawa,2011-01-03,2011-01-09,8,0.0,0.0,0.0,0.0,20.25142857142857,52.58857142857143
Adamawa,2011-01-10,2011-01-16,8,0.0,0.0,0.0,0.0,18.38571428571429,45.475714285714275
Adamawa,2011-01-17,2011-01-23,8,0.0,0.0,0.0,0.0,19.594285714285714,45.779999999999994
Adamawa,2011-01-24,2011-01-30,8,0.0,0.0,0.0,0.0,22.52,41.90571428571428
Adamawa,2011-01-31,2011-02-06,8,0.0,0.0,0.0,0.13571428571428573,24.525714285714287,50.902857142857144
Adamawa,2011-02-07,2011-02-13,8,0.0,0.0,0.0,0.04714285714285714,23.714285714285715,43.94
Adamawa,2011-02-14,2011-02-20,8,0.0,0.0,0.0,0.044285714285714296,24.852857142857147,38.91285714285715
Adamawa,2011-02-21,2011-02-27,8,0.0,0.0,0.0,0.75,24.31142857142857,53.76142857142857
Adamawa,2011-02-28,2011-03-06,8,0.0,0.0,0.0,0.1385714285714286,25.768571428571427,48.24999999999999
Adamawa,2011-03-07,2011-03-13,8,0.0,0.0,0.0,0.0,25.698571428571427,30.962857142857143
Adamawa,2011-03-14,2011-03-20,8,0.0,0.0,0.0,0.02142857142857143,25.645714285714284,25.694285714285716
Adamawa,2011-03-21,2011-03-27,8,0.0,1.0,0.0,0.5128571428571428,25.895714285714284,51.44571428571429
Adamawa,2011-03-28,2011-04-03,8,0.0,0.0,0.0,0.6414285714285715,26.088571428571424,40.089999999999996
Adamawa,2011-04-04,2011-04-10,8,0.0,0.0,0.0,0.02142857142857143,25.547142857142855,40.74285714285714
Adamawa,2011-04-11,2011-04-17,8,0.0,0.0,0.0,1.3828571428571428,26.162857142857145,56.65571428571429
Adamawa,2011-04-18,2011-04-24,8,5.0,6.0,0.0,2.9285714285714284,26.12714285714286,61.73285714285714
Adamawa,2011-04-25,2011-05-01,8,6.0,29.0,0.0,1.8657142857142854,24.335714285714285,72.34285714285714
Adamawa,2011-05-02,2011-05-08,8,1.0,3.0,0.0,2.224285714285714,25.404285714285717,69.3
Adamawa,2011-05-09,2011-05-15,8,0.0,4.0,0.0,1.7414285714285715,24.532857142857143,71.00285714285714
Adamawa,2011-05-16,2011-05-22,8,0.0,0.0,0.0,11.612857142857141,24.4,76.29571428571428
Adamawa,2011-05-23,2011-05-29,8,1.0,2.0,0.0,2.241428571428571,22.68285714285714,81.44714285714285
Adamawa,2011-05-30,2011-06-05,8,0.0,0.0,0.0,7.7871428571428565,23.68,79.55
Adamawa,2011-06-06,2011-06-12,8,0.0,0.0,0.0,1.4142857142857141,23.01142857142857,79.09
Adamawa,2011-06-13,2011-06-19,8,0.0,0.0,0.0,4.362857142857143,23.36428571428571,77.45142857142856
Adamawa,2011-06-20,2011-06-26,8,0.0,0.0,0.0,6.864285714285714,22.458571428571428,80.03428571428572
Adamawa,2011-06-27,2011-07-03,8,1.0,2.0,0.0,6.29,22.71285714285714,79.78999999999999
Adamawa,2011-07-04,2011-07-10,8,0.0,2.0,0.0,6.035714285714286,22.57285714285714,80.61285714285714
Adamawa,2011-07-11,2011-07-17,8,0.0,24.0,0.0,6.49,21.455714285714286,83.44142857142857
Adamawa,2011-07-18,2011-07-24,8,2.0,25.0,0.0,7.952857142857143,21.775714285714287,83.38142857142857
Adamawa,2011-07-25,2011-07-31,8,1.0,33.0,0.0,3.3857142857142857,21.64428571428572,83.94000000000001
Adamawa,2011-08-01,2011-08-07,8,0.0,17.0,0.0,10.629999999999999,21.524285714285714,84.50285714285714
Adamawa,2011-08-08,2011-08-14,8,0.0,18.0,0.0,18.321428571428573,20.334285714285716,87.77714285714286
Adamawa,2011-08-15,2011-08-21,8,0.0,4.0,0.0,5.314285714285714,20.627142857142854,87.70285714285714
Adamawa,2011-08-22,2011-08-28,8,0.0,18.0,0.0,6.265714285714286,21.16714285714286,86.15428571428572
Adamawa,2011-08-29,2011-09-04,8,0.0,0.0,0.0,10.597142857142858,21.077142857142857,85.46285714285715
Adamawa,2011-09-05,2011-09-11,8,0.0,4.0,0.0,7.135714285714286,20.85571428571429,87.86000000000001
Adamawa,2011-09-12,2011-09-18,8,0.0,3.0,0.0,10.261428571428572,20.641428571428573,88.00714285714285
Adamawa,2011-09-19,2011-09-25,8,1.0,3.0,0.0,9.824285714285717,21.731428571428573,83.52
Adamawa,2011-09-23,2011-12-11,1,0.0,16.0,0.0,2.6161249999999994,21.436,70.44775
Adamawa,2011-09-26,2011-10-02,8,0.0,1.0,0.0,4.42,21.772857142857138,82.50857142857141
Adamawa,2011-10-03,2011-10-09,8,0.0,1.0,0.0,6.581428571428572,22.08857142857143,82.05142857142857
Adamawa,2011-10-10,2011-10-16,8,0.0,0.0,0.0,6.998571428571429,22.062857142857148,82.19714285714285
Adamawa,2011-10-17,2011-10-23,8,0.0,0.0,0.0,3.804285714285714,21.687142857142856,82.20571428571428
Adamawa,2011-10-24,2011-10-30,8,0.0,0.0,0.0,3.561428571428571,21.93857142857143,76.42857142857143
Adamawa,2011-10-31,2011-11-06,8,0.0,0.0,0.0,0.6728571428571428,22.369999999999997,72.43714285714286
Adamawa,2011-11-07,2011-11-13,8,0.0,0.0,0.0,0.014285714285714287,22.37,66.73714285714284
Adamawa,2011-11-14,2011-11-20,8,0.0,0.0,0.0,0.07571428571428572,22.487142857142857,65.48142857142857
