region,cCh,deaths,cfr,cfr_risk
Adamaoua,0,0,0.0,Low
Centre,0,0,0.0,Low
East,20,0,0.0,Low
Far North,670,15,2.2388059701492535,Medium
Littoral,0,0,0.0,Low
North,786,14,1.7811704834605597,Medium
North-West,0,0,0.0,Low
South,5,0,0.0,Low
South-West,339,19,5.604719764011799,High
West,0,0,0.0,Low
