region,cCh,deaths,cfr,cfr_risk
Adamaoua,71,2,2.8169014084507045,Medium
Centre,477,9,1.8867924528301887,Medium
East,215,3,1.3953488372093024,Medium
Far North,806,26,3.225806451612903,High
Littoral,981,32,3.2619775739041796,High
North,1325,62,4.679245283018868,High
North-West,134,1,0.7462686567164178,Low
South,56,0,0.0,Low
South-West,655,32,4.885496183206107,High
West,88,1,1.1363636363636365,Medium
