region,cCh,deaths,cfr,cfr_risk
Adamaoua,632,9,1.4240506329113924,Medium
Centre,3335,61,1.8290854572713642,Medium
East,839,13,1.5494636471990464,Medium
Far North,2969,51,1.7177500842034354,Medium
Littoral,3459,56,1.6189650187915583,Medium
North,1279,25,1.9546520719311962,Medium
North-West,1911,30,1.5698587127158554,Medium
South,708,11,1.5536723163841808,Medium
South-West,3447,63,1.8276762402088773,Medium
West,1248,24,1.9230769230769231,Medium
