TL,TR,sCh,cCh,deaths,region_en,district
2014-07-07,2014-07-13,0.0,,0.0,Centre,Awae Health District
2012-06-18,2012-06-24,0.0,,0.0,North-West,Bafut Health District
2012-06-18,2012-06-24,0.0,,0.0,North-West,Bali Health District
2012-06-18,2012-06-24,0.0,,0.0,North-West,Bamenda Health District
2012-06-18,2012-06-24,0.0,,0.0,North-West,Batibo Health District
2012-06-18,2012-06-24,0.0,,0.0,North-West,Benakuma Health District
2012-06-18,2012-06-24,0.0,,0.0,North,Garoua 2 Health District
2012-06-18,2012-06-24,0.0,,0.0,North,Gaschiga Health District
2012-06-18,2012-06-24,0.0,,0.0,North,Golombe Health District
2012-06-18,2012-06-24,0.0,,0.0,North,Guider Health District
2012-06-18,2012-06-24,0.0,,0.0,North,Lagdo Health District
2010-09-20,2010-09-26,3.0,,0.0,Far North,Koza Health District
2010-09-20,2010-09-26,7.0,,0.0,Far North,Vele Health District
2010-09-20,2010-09-26,12.0,,0.0,Far North,Guere Health District
2010-09-20,2010-09-26,2.0,,1.0,Far North,Mindif Health District
2011-09-12,2011-09-18,0.0,,0.0,North,Golombe Health District
2011-09-12,2011-09-18,0.0,,0.0,North,Poli Health District
2011-09-12,2011-09-18,1.0,,0.0,North,Lagdo Health District
2011-09-12,2011-09-18,1.0,,0.0,North,Mayo Oulo Health District
2011-09-12,2011-09-18,2.0,,0.0,North,Touboro Health District
2015-08-17,2015-08-23,0.0,,0.0,Adamawa,Ngaoundere Rural Health District
2015-08-17,2015-08-23,0.0,,0.0,Adamawa,Ngaoundere Urban Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Figuil Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Garoua 1 Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Garoua 2 Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Gaschiga Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Golombe Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Guider Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Lagdo Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Mayo Oulo Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Ngong Health District
2016-09-05,2016-09-11,0.0,,0.0,North,Pitoa Health District
2015-02-09,2015-02-15,0.0,,0.0,West,Bafang Health District
2015-02-09,2015-02-15,0.0,,0.0,West,Baham Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Loum Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Manjo Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Manoka Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Mbanga Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Melong Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Ndom Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,New Bell Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Ngambe Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Nkondjock Health District
2012-06-18,2012-06-24,0.0,,0.0,Littoral,Nkongsamba Health District
2018-11-26,2018-12-02,0.0,,,South-West,Tiko Health District
2018-11-26,2018-12-02,0.0,,,South,Ambam Health District
2018-11-26,2018-12-02,0.0,,,South,Ebolowa Health District
2018-11-26,2018-12-02,0.0,,,South,Kribi Health District
2018-11-26,2018-12-02,0.0,,,West,Kekem Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Ntui Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Okola Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Saa Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Soa Health District
2011-04-18,2011-04-24,0.0,,0.0,Centre,Yoko Health District
2011-04-18,2011-04-24,1.0,,0.0,Centre,Evodoula Health District
2011-04-18,2011-04-24,1.0,,0.0,Centre,Mfou Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Figuil Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Garoua 1 Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Garoua 2 Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Lagdo Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Ngong Health District
2014-10-13,2014-10-19,0.0,,0.0,North,Pitoa Health District
2016-05-16,2016-05-22,0.0,,0.0,Far North,Vele Health District
2016-05-16,2016-05-22,0.0,,0.0,Far North,Yagoua Health District
2016-05-16,2016-05-22,0.0,,0.0,Centre,Akonolinga Health District
2018-08-13,2018-08-19,0.0,,,West,Malantouen Health District
2018-08-13,2018-08-19,0.0,,,West,Mbouda Health District
2018-08-13,2018-08-19,0.0,,,West,Mifi Health District
2018-08-13,2018-08-19,0.0,,,West,Penka Michel Health District
2018-08-13,2018-08-19,0.0,,,West,Santchou Health District
2018-08-13,2018-08-19,0.0,,,North-West,Bafut Health District
2018-08-13,2018-08-19,0.0,,,North-West,Bali Health District
2018-08-13,2018-08-19,0.0,,,North-West,Bamenda Health District
2018-08-13,2018-08-19,0.0,,,North-West,Batibo Health District
2018-08-13,2018-08-19,0.0,,,North-West,Fundong Health District
2018-08-13,2018-08-19,0.0,,,North-West,Kumbo East Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Saa Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Soa Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Djoungolo Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Cite Verte Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Nkolndongo Health District
2019-02-18,2019-02-24,0.0,,0.0,Centre,Biyem Assi Health District
2019-02-18,2019-02-24,,,0.0,Centre,Yoko Health District
2019-02-18,2019-02-24,0.0,,,Centre,Nkolbisson Health District
2019-02-18,2019-02-24,0.0,,0.0,Adamawa,Banyo Health District
2019-02-18,2019-02-24,0.0,,0.0,Adamawa,Meiganga Health District
2019-02-18,2019-02-24,0.0,,0.0,Adamawa,Tibati Health District
