TL,TR,sCh,cCh,deaths,region_en,district
2013-09-02,2013-09-08,0.0,,0.0,Far North,Goulfey Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Guere Health District
2012-09-24,2012-09-30,0.0,,0.0,North-West,Nkambe Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Guidiguis Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Hina Health District
2012-09-24,2012-09-30,0.0,,0.0,North-West,Nwa Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Kaele Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Kar Hay Health District
2012-09-24,2012-09-30,0.0,,0.0,North-West,Santa Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Kolofata Health District
2013-09-02,2013-09-08,0.0,,0.0,Far North,Kousseri Health District
2011-02-07,2011-02-13,0.0,,0.0,North,Guider Health District
