Model,CV Accuracy,CV F1 (macro),CV Low Precision,CV Low Recall,CV Medium Precision,CV Medium Recall,CV High Precision,CV High Recall,Hold-out Accuracy,Hold-out F1 (macro),Hold-out Low Precision,Hold-out Low Recall,Hold-out Medium Precision,Hold-out Medium Recall,Hold-out High Precision,Hold-out High Recall
Random Forest,0.6502793296089384,0.6321556920940266,0.6879928081072245,0.6389740694088519,0.5284413220954575,0.5144855498085971,0.7170173191038665,0.7381419268350465,0.6722689075630253,0.6562323192757975,0.8297872340425532,0.8666666666666667,0.53125,0.425,0.6,0.7058823529411765
XGBoost,0.6648044692737429,0.6482819854454395,0.6964070275565213,0.6816466142553098,0.5450538708603225,0.5303191023056018,0.7253379953379954,0.7291133184252951,0.6470588235294118,0.6297359144041067,0.78,0.8666666666666667,0.5,0.425,0.6,0.6176470588235294
Ensemble,0.6513966480446927,0.6351867601869914,0.685313578826237,0.6545056392882479,0.5309445531637313,0.5102228456211099,0.7150810858452318,0.7390834676790266,0.6638655462184874,0.6490937019969278,0.8125,0.8666666666666667,0.5142857142857142,0.45,0.6111111111111112,0.6470588235294118
