Year,sCh,cCh,CFR,REF_AREA,Population_Density,ISO3,Country,Residence Type,Service Type,Coverage,Population,Quintile,Service level
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,36.06857,1048175.0789,Poorest,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,7.8964,402812.70066,Poorest,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,5.8961,129428.52919,Poorest,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,28.32321,823090.07544,Poorest,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,8.07072,411705.31812,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,8.57953,188334.21807,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,8.95072,260113.50728,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,85.69417,4371447.22382,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,88.45603,1941748.31306,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,66.55512,1934133.39842,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,0.98165,50076.28643,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,0.53675,11782.47925,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,19.25094,559444.37627,Poorest,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,6.40943,326959.07552,Poorest,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,5.64788,123979.75775,Poorest,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,5.12167,148838.92614,Poorest,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,21.89448,1116885.62288,Poorest,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,29.32666,643766.01155,Poorest,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,1.91225,55571.24065,Poorest,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,19.32371,985744.78647,Poorest,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,23.41005,513887.26213,Poorest,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,2.91539,84723.14156,Poorest,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,34.68757,1769488.82713,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,33.79116,741768.93774,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,13.06582,379700.80515,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,64.92623,3312029.31924,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,60.53538,1328846.38448,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,42.76824,1242871.70418,Poorest,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,84.89738,4330801.14247,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,48.20804,1058241.94758,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,90.65108,2634377.06686,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,53.43022,2725592.52297,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,33.78502,741634.12543,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,65.50067,1903490.43256,Rich,At least basic
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,41.81812,2133234.01872,Rich,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,27.14808,595942.84179,Rich,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,53.24439,1547315.13451,Rich,Basic service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,8.95634,456882.26647,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,9.62521,211288.33608,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,8.53333,247984.0385,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,54.37859,2773970.94267,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,69.54822,1526692.29412,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,43.78813,1272510.3397,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,31.95202,1629942.49315,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,7.99719,175550.9057,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,29.08986,845369.44367,Rich,Limited service
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Hygiene,3.80329,194014.03861,Rich,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Hygiene,3.3037,72521.46408,Rich,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Hygiene,2.96748,86236.9258,Rich,No handwashing facility
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,0.14827,7563.36415,Rich,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,1.69725,37257.39662,Rich,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,0.0,0.0,Rich,Open defecation
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,0.62239,31749.45286,Rich,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,10.76741,236361.52886,Rich,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,0.04379,1272.67105,Rich,Surface water
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Drinking water,5.5239,281786.1382,Rich,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Drinking water,31.39934,689264.78748,Rich,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Drinking water,0.77179,22428.62359,Rich,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,total,Sanitation,14.46949,738120.61973,Rich,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,rural,Sanitation,56.52053,1240714.17226,Rich,Unimproved
2019,10887,3572,1.9586166179007194,CMR,53.95717247360961,CMR,Cameroon,urban,Sanitation,5.40947,157202.52377,Rich,Unimproved
2020,15407,4347,2.677534839262206,CMR,55.44743711789469,,,,,,,,
2021,2002,323,1.2852255639097745,CMR,56.93926085760826,,,,,,,,
2022,56789,20789,2.139432000718072,CMR,58.456074548877744,,,,,,,,
2023,146973,36028,4.442857142857143,CMR,60.02133866429735,,,,,,,,
2024,143,40,3.335,,,,,,,,,,
