region_en,TL,TR,Location,deaths,sCh,cCh,rainfall_avg,temp_avg,humidity_avg
Centre,2019-03-04,2019-03-10,27,0.0,0.0,0.0,0.8328571428571429,26.117142857142856,72.66142857142857
Centre,2019-03-11,2019-03-17,27,0.0,0.0,0.0,0.942857142857143,26.374285714285715,74.00142857142858
Centre,2019-03-18,2019-03-24,26,0.0,0.0,0.0,4.04,26.312857142857148,76.60428571428572
Centre,2019-05-13,2019-05-19,26,0.0,0.0,0.0,2.3,25.319999999999997,78.14857142857143
Centre,2019-12-30,2020-01-05,1,0.0,0.0,0.0,0.0,24.374285714285715,58.90714285714285
Centre,2020-01-01,2020-10-25,1,2.0,60.0,0.0,5.370334448160535,24.165719063545147,79.14498327759196
Centre,2020-01-06,2020-01-12,1,0.0,0.0,0.0,0.0,25.057142857142857,59.98714285714285
Centre,2020-01-13,2020-01-19,1,0.0,0.0,0.0,0.0,25.445714285714285,53.298571428571435
Centre,2020-01-20,2020-01-26,1,0.0,0.0,0.0,0.0,24.47857142857143,47.059999999999995
Centre,2020-01-27,2020-02-02,1,0.0,0.0,0.0,0.004285714285714286,25.705714285714283,45.607142857142854
Centre,2020-02-03,2020-02-09,1,0.0,0.0,0.0,0.0,27.122857142857146,56.38999999999999
Centre,2020-02-10,2020-02-16,1,0.0,1.0,0.0,0.0,26.957142857142856,43.98857142857143
Centre,2020-02-10,2020-06-19,1,0.0,1.0,0.0,5.46236641221374,25.206030534351143,77.77038167938932
Centre,2020-02-10,2020-07-13,1,0.0,5.0,0.0,5.936,24.870838709677418,79.44954838709678
Centre,2020-02-10,2020-07-24,1,1.0,16.0,0.0,6.164518072289156,24.691566265060242,80.12319277108435
Centre,2020-02-10,2020-07-28,1,0.0,1.0,0.0,6.238352941176471,24.636529411764705,80.3929411764706
Centre,2020-02-10,2020-07-29,1,1.0,2.0,0.0,6.245263157894737,24.616959064327485,80.4761403508772
Centre,2020-02-10,2020-08-10,2,0.0,33.0,0.0,5.969890710382512,24.483060109289614,80.84601092896176
