region,cCh,deaths,cfr,cfr_risk
Adamaoua,1150,20,1.7391304347826086,Medium
Centre,3341,50,1.4965579167913798,Medium
East,1415,20,1.4134275618374559,Medium
Far North,2783,44,1.5810276679841897,Medium
Littoral,2643,43,1.6269390843738174,Medium
North,1239,19,1.533494753833737,Medium
North-West,2094,39,1.8624641833810889,Medium
South,1072,18,1.6791044776119404,Medium
South-West,2845,53,1.8629173989455183,Medium
West,1799,33,1.8343524180100057,Medium
