Region,month_date,cases,deaths,CFR,rainfall_avg,temperature_avg,humidity_avg,year,month,cases_lag1,cases_lag2,rainfall_lag1,rainfall_lag2,temperature_lag1,temperature_lag2,humidity_lag1,humidity_lag2,risk_level,Region_Adamaoua,Region_Centre,Region_East,Region_Far North,Region_Littoral,Region_North,Region_North-West,Region_South,Region_South-West,Region_West
Adamaoua,2014-08-01,50,0,0.0,7.645428571428572,20.905142857142856,86.45142857142858,2014,8,14.0,357.0,5.523928571428571,7.610000000000001,22.119642857142857,22.935142857142857,82.62678571428572,81.32114285714286,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2014-09-01,272,1,1.0,10.028214285714284,21.057142857142857,85.42928571428571,2014,9,50.0,14.0,7.645428571428572,5.523928571428571,20.905142857142856,22.119642857142857,86.45142857142858,82.62678571428572,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2014-10-01,66,0,0.0,4.307857142857143,21.798214285714288,83.295,2014,10,272.0,50.0,10.028214285714284,7.645428571428572,21.057142857142857,20.905142857142856,85.42928571428571,86.45142857142858,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2014-11-01,155,0,0.0,0.21628571428571425,22.246857142857145,70.58285714285714,2014,11,66.0,272.0,4.307857142857143,10.028214285714284,21.798214285714288,21.057142857142857,83.295,85.42928571428571,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2014-12-01,279,1,0.3846153846153846,0.0007142857142857,21.085357142857145,49.43857142857142,2014,12,155.0,66.0,0.21628571428571425,4.307857142857143,22.246857142857145,21.798214285714288,70.58285714285714,83.295,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-01-01,583,4,1.4583333333333333,0.0,19.22107142857143,40.1025,2015,1,279.0,155.0,0.0007142857142857,0.21628571428571425,21.085357142857145,22.246857142857145,49.43857142857142,70.58285714285714,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-02-01,80,0,0.0,0.014285714285714275,24.807499999999997,37.167500000000004,2015,2,583.0,279.0,0.0,0.0007142857142857,19.22107142857143,21.085357142857145,40.1025,49.43857142857142,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-03-01,75,0,0.0,0.25857142857142856,26.103714285714283,44.76142857142857,2015,3,80.0,583.0,0.014285714285714275,0.0,24.807499999999997,19.22107142857143,37.167500000000004,40.1025,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-04-01,66,0,0.0,0.8028571428571429,25.837857142857143,49.33642857142857,2015,4,75.0,80.0,0.25857142857142856,0.014285714285714275,26.103714285714283,24.807499999999997,44.76142857142857,37.167500000000004,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-05-01,166,0,0.0,6.596571428571428,24.44685714285714,71.91428571428571,2015,5,66.0,75.0,0.8028571428571429,0.25857142857142856,25.837857142857143,26.103714285714283,49.33642857142857,44.76142857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-06-01,60,0,0.0,6.701785714285715,22.915,79.83,2015,6,166.0,66.0,6.596571428571428,0.8028571428571429,24.44685714285714,25.837857142857143,71.91428571428571,49.33642857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-07-01,192,1,0.5434782608695652,7.8896428571428565,22.325357142857143,83.79464285714286,2015,7,60.0,166.0,6.701785714285715,6.596571428571428,22.915,24.44685714285714,79.83,71.91428571428571,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-08-01,456,3,1.0408432147562583,12.37657142857143,21.502857142857145,86.75399999999999,2015,8,192.0,60.0,7.8896428571428565,6.701785714285715,22.325357142857143,22.915,83.79464285714286,79.83,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-09-01,490,1,0.25,10.072142857142858,21.782857142857143,85.50571428571429,2015,9,456.0,192.0,12.37657142857143,7.8896428571428565,21.502857142857145,22.325357142857143,86.75399999999999,83.79464285714286,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-10-01,286,1,0.0,5.339642857142858,22.2425,82.93,2015,10,490.0,456.0,10.072142857142858,12.37657142857143,21.782857142857143,21.502857142857145,85.50571428571429,86.75399999999999,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-11-01,264,0,0.0,0.8162857142857142,21.613142857142854,72.64771428571429,2015,11,286.0,490.0,5.339642857142858,10.072142857142858,22.2425,21.782857142857143,82.93,85.50571428571429,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2015-12-01,35,0,0.0,0.0,18.608571428571427,54.40714285714286,2015,12,264.0,286.0,0.8162857142857142,5.339642857142858,21.613142857142854,22.2425,72.64771428571429,82.93,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-01-01,78,0,0.0,0.0,20.437857142857144,41.195,2016,1,35.0,264.0,0.0,0.8162857142857142,18.608571428571427,21.613142857142854,54.40714285714286,72.64771428571429,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-02-01,43,0,0.0,0.0,23.096785714285716,34.57142857142857,2016,2,78.0,35.0,0.0,0.0,20.437857142857144,18.608571428571427,41.195,54.40714285714286,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-03-01,510,3,1.0756756756756756,1.4753571428571428,26.89107142857143,54.073928571428574,2016,3,43.0,78.0,0.0,0.0,23.096785714285716,20.437857142857144,34.57142857142857,41.195,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-04-01,84,1,0.8333333333333333,3.1757142857142857,25.335357142857145,64.22285714285714,2016,4,510.0,43.0,1.4753571428571428,0.0,26.89107142857143,23.096785714285716,54.073928571428574,34.57142857142857,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-05-01,479,4,1.384493670886076,8.383714285714287,23.63142857142857,80.41685714285714,2016,5,84.0,510.0,3.1757142857142857,1.4753571428571428,25.335357142857145,26.89107142857143,64.22285714285714,54.073928571428574,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-06-01,264,1,0.6578947368421052,9.157142857142858,22.43142857142857,83.14928571428571,2016,6,479.0,84.0,8.383714285714287,3.1757142857142857,23.63142857142857,25.335357142857145,80.41685714285714,64.22285714285714,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-07-01,61,1,0.8695652173913043,10.314857142857141,21.315714285714286,87.37314285714285,2016,7,264.0,479.0,9.157142857142858,8.383714285714287,22.43142857142857,23.63142857142857,83.14928571428571,80.41685714285714,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-08-01,65,0,0.0,11.405357142857143,21.43642857142857,86.97999999999999,2016,8,61.0,264.0,10.314857142857141,9.157142857142858,21.315714285714286,22.43142857142857,87.37314285714285,83.14928571428571,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-09-01,433,3,0.77319587628866,14.603214285714285,21.624285714285712,87.55607142857143,2016,9,65.0,61.0,11.405357142857143,10.314857142857141,21.43642857142857,21.315714285714286,86.97999999999999,87.37314285714285,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-10-01,383,0,0.0,4.496285714285714,22.121428571428574,82.74485714285714,2016,10,433.0,65.0,14.603214285714285,11.405357142857143,21.624285714285712,21.43642857142857,87.55607142857143,86.97999999999999,1,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-11-01,53,0,0.0,0.06785714285714285,22.107142857142858,71.06178571428572,2016,11,383.0,433.0,4.496285714285714,14.603214285714285,22.121428571428574,21.624285714285712,82.74485714285714,87.55607142857143,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2016-12-01,79,0,0.0,0.002142857142857125,21.57821428571429,58.60464285714286,2016,12,53.0,383.0,0.06785714285714285,4.496285714285714,22.107142857142858,22.121428571428574,71.06178571428572,82.74485714285714,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-01-01,110,0,0.0,0.00028571428571428,21.961142857142857,47.01942857142857,2017,1,79.0,53.0,0.002142857142857125,0.06785714285714285,21.57821428571429,22.107142857142858,58.60464285714286,71.06178571428572,0,1,0,0,0,0,0,0,0,0,0
Adamaoua,2017-02-01,310,1,0.7142857142857143,0.0,22.374285714285715,37.14035714285714,2017,2,110.0,79.0,0.00028571428571428,0.002142857142857125,21.961142857142857,21.57821428571429,47.01942857142857,58.60464285714286,1,1,0,0,0,0,0,0,0,0,0
