region,cCh,deaths,cfr,cfr_risk
Adamaoua,642,13,2.0249221183800623,Medium
Centre,3713,81,2.1815243738217074,Medium
East,995,15,1.507537688442211,Medium
Far North,4001,74,1.849537615596101,Medium
Littoral,3484,55,1.5786452353616531,Medium
North,1722,24,1.3937282229965158,Medium
North-West,1912,26,1.3598326359832638,Medium
South,855,14,1.6374269005847955,Medium
South-West,3545,65,1.8335684062059237,Medium
West,1650,32,1.9393939393939394,Medium
