Model,CV Accuracy,CV F1 (macro),CV Low Precision,CV Low Recall,CV High Precision,CV High Recall,Hold-out Accuracy,Hold-out F1 (macro),Hold-out Low Precision,Hold-out Low Recall,Hold-out High Precision,Hold-out High Recall
Random Forest,0.7898550724637682,0.7719327812809363,0.7593212101347403,0.7236191712070211,0.7947603598948875,0.8133830435390313,0.8426966292134831,0.8400256780613063,0.8564356435643564,0.865,0.8246753246753247,0.8141025641025641
XGBoost,0.7971014492753624,0.7843561634439375,0.7753227649384973,0.7408703760528826,0.7978481546276421,0.8267662954337972,0.8370786516853933,0.834061977626334,0.8480392156862745,0.865,0.8223684210526315,0.8012820512820513
Ensemble,0.7927536231884058,0.77885076873082,0.7647243442831677,0.7397613407738483,0.797690098441745,0.8150319249353817,0.848314606741573,0.8455059791693456,0.8578431372549019,0.875,0.8355263157894737,0.8141025641025641
