region_en,TL,TR,Location,deaths,sCh,cCh
Littoral,2018-04-23,2018-04-29,20,0.0,0.0,0.0
Littoral,2018-04-30,2018-05-06,20,0.0,0.0,0.0
Littoral,2018-05-07,2018-05-13,20,0.0,0.0,0.0
Littoral,2018-05-14,2018-05-20,20,0.0,2.0,0.0
Littoral,2018-05-18,2018-07-26,1,0.0,31.0,0.0
Littoral,2018-05-18,2018-08-13,1,0.0,52.0,0.0
Littoral,2018-05-18,2018-09-17,1,0.0,1.0,1.0
Littoral,2018-05-18,2018-09-24,1,0.0,4.0,0.0
Littoral,2018-05-18,2018-09-28,1,0.0,4.0,4.0
Littoral,2018-05-18,2018-10-12,1,0.0,4.0,4.0
