region,cCh,deaths,cfr,cfr_risk
Adamaoua,634,9,1.4195583596214512,Medium
Centre,2565,48,1.8713450292397662,Medium
East,1003,17,1.694915254237288,Medium
Far North,3293,59,1.7916793197692076,Medium
Littoral,3471,61,1.7574186113511956,Medium
North,2023,37,1.828966880869995,Medium
North-West,1861,27,1.4508328855454058,Medium
South,812,10,1.2315270935960592,Medium
South-West,2443,40,1.6373311502251329,Medium
West,1658,32,1.9300361881785282,Medium
