region,cCh,deaths,cfr,cfr_risk
Centre,295,3,1.0169491525423728,Medium
Far North,76,4,5.263157894736842,High
Littoral,1187,31,2.611625947767481,Medium
North,14,0,0.0,Low
South,37,0,0.0,Low
South-West,719,16,2.2253129346314324,Medium
West,179,3,1.675977653631285,Medium
