region_en,TL,TR,Location,deaths,sCh,cCh,rainfall_avg,temp_avg,humidity_avg
Far North,2018-02-19,2018-02-25,28,0.0,0.0,0.0,0.51,29.447142857142858,26.877142857142854
Far North,2018-02-26,2018-03-04,28,0.0,0.0,0.0,0.0,29.475714285714286,14.618571428571428
Far North,2018-03-05,2018-03-11,28,0.0,0.0,0.0,0.0,30.197142857142858,12.157142857142857
Far North,2018-03-12,2018-03-18,28,0.0,0.0,0.0,0.0,29.952857142857145,9.152857142857144
Far North,2018-03-19,2018-03-25,28,0.0,0.0,0.0,0.028571428571428574,30.572857142857142,21.467142857142857
Far North,2018-03-26,2018-04-01,28,0.0,0.0,0.0,0.011428571428571429,31.261428571428574,12.758571428571427
Far North,2018-04-02,2018-04-08,28,0.0,0.0,0.0,0.10571428571428572,31.23285714285714,16.19142857142857
Far North,2018-04-09,2018-04-15,28,0.0,0.0,0.0,0.35857142857142854,31.435714285714287,21.94142857142857
Far North,2018-04-16,2018-04-22,28,0.0,2.0,0.0,0.13714285714285715,31.617142857142856,38.46
Far North,2018-04-23,2018-04-29,28,0.0,0.0,0.0,0.05714285714285715,32.43714285714285,41.64999999999999
Far North,2018-04-30,2018-05-06,28,0.0,0.0,0.0,3.1442857142857146,31.108571428571427,51.53142857142858
Far North,2018-05-07,2018-05-13,28,0.0,2.0,0.0,4.724285714285713,27.458571428571428,66.87285714285714
Far North,2018-05-14,2018-05-20,28,0.0,0.0,0.0,2.7199999999999998,28.574285714285715,61.30857142857144
Far North,2018-05-18,2018-08-17,1,0.0,2.0,0.0,6.753260869565217,25.729239130434784,76.06434782608694
Far North,2018-05-18,2018-10-23,1,5.0,21.0,0.0,6.337924528301886,25.227672955974842,78.49666666666667
Far North,2018-05-18,2018-11-09,1,14.0,226.0,0.0,5.7625,25.298011363636363,76.94022727272727
Far North,2018-05-18,2020-01-09,1,35.0,629.0,0.0,3.391578073089701,25.789102990033225,56.688754152823925
Far North,2018-05-18,2020-12-16,1,34.0,629.0,0.0,2.924713983050848,26.106122881355933,54.456239406779666
Far North,2018-05-21,2018-05-27,28,0.0,0.0,0.0,4.165714285714286,27.757142857142856,68.19714285714285
Far North,2018-05-28,2018-06-03,28,0.0,0.0,0.0,2.3485714285714288,27.808571428571423,66.54428571428572
Far North,2018-06-04,2018-06-10,28,0.0,0.0,0.0,4.331428571428572,28.42571428571429,64.66714285714285
Far North,2018-06-11,2018-06-17,28,0.0,0.0,0.0,4.287142857142857,27.47,69.72571428571429
Far North,2018-06-18,2018-06-24,28,0.0,0.0,0.0,10.025714285714287,24.755714285714284,77.8142857142857
Far North,2018-06-25,2018-07-01,28,0.0,0.0,0.0,3.0042857142857144,25.488571428571426,74.26428571428572
Far North,2018-07-02,2018-07-08,28,0.0,0.0,0.0,3.435714285714286,25.369999999999997,75.66857142857144
Far North,2018-07-09,2018-07-15,28,0.0,0.0,0.0,7.805714285714286,25.612857142857145,75.63571428571429
Far North,2018-07-16,2018-07-22,28,0.0,0.0,0.0,9.032857142857143,24.51,81.18285714285715
Far North,2018-07-17,2018-08-12,1,0.0,2.0,0.0,9.481851851851852,23.99037037037037,84.92333333333335
Far North,2018-07-23,2018-07-29,28,0.0,0.0,0.0,11.725714285714286,24.477142857142855,84.40285714285713
Far North,2018-07-30,2018-08-05,28,0.0,0.0,0.0,9.724285714285715,23.212857142857143,87.84571428571428
Far North,2018-08-06,2018-08-12,28,0.0,0.0,0.0,11.534285714285716,23.731428571428573,85.86714285714285
Far North,2018-08-13,2018-08-19,28,0.0,0.0,0.0,9.094285714285714,23.905714285714282,86.32142857142857
Far North,2018-08-20,2018-08-26,27,0.0,0.0,0.0,11.055714285714286,22.907142857142855,89.42
Far North,2018-08-24,2018-09-28,1,0.0,2.0,0.0,7.416388888888891,24.12916666666667,84.79500000000002
