region,cCh,deaths,cfr,cfr_risk
Adamaoua,464,7,1.5086206896551724,Medium
Centre,3753,62,1.65201172395417,Medium
East,874,14,1.6018306636155606,Medium
Far North,10998,382,3.473358792507729,High
Littoral,2647,49,1.8511522478277296,Medium
North,2717,50,1.8402649981597348,Medium
North-West,1750,33,1.8857142857142857,Medium
South,341,6,1.7595307917888565,Medium
South-West,2322,45,1.937984496124031,Medium
West,1681,29,1.7251635930993456,Medium
