Model,CV Accuracy,CV Precision,CV Recall,CV F1 (macro),Hold-out Accuracy,Hold-out Precision,Hold-out Recall,Hold-out F1 (macro)
Random Forest,0.7898550724637682,0.7770407850148138,0.7685011073730262,0.7719327812809363,0.8426966292134831,0.8405554841198406,0.839551282051282,0.8400256780613063
XGBoost,0.7971014492753624,0.7865854597830697,0.7838183357433399,0.7843561634439375,0.8370786516853933,0.835203818369453,0.8331410256410257,0.834061977626334
