ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Quintile,Service level
CMR,Cameroon,urban,Drinking water,2011,91.00212,1920868.83154,Rich,At least basic
CMR,Cameroon,total,Sanitation,2011,51.2702,2074628.61811,Rich,At least basic
CMR,Cameroon,rural,Sanitation,2011,24.19273,468290.29422,Rich,At least basic
CMR,Cameroon,urban,Sanitation,2011,57.7499,1218982.56822,Rich,At least basic
CMR,Cameroon,total,Drinking water,2011,9.36501,378951.63193,Rich,Limited service
CMR,Cameroon,rural,Drinking water,2011,8.15304,157815.52015,Rich,Limited service
CMR,Cameroon,urban,Drinking water,2011,5.24247,110657.77864,Rich,Limited service
CMR,Cameroon,total,Sanitation,2011,33.4918,1355232.58894,Rich,Limited service
CMR,Cameroon,rural,Sanitation,2011,9.35968,181172.0785,Rich,Limited service
CMR,Cameroon,urban,Sanitation,2011,36.93781,779681.78278,Rich,Limited service
CMR,Cameroon,total,Sanitation,2011,0.18846,7625.75859,Rich,Open defecation
CMR,Cameroon,rural,Sanitation,2011,2.30485,44614.25072,Rich,Open defecation
CMR,Cameroon,urban,Sanitation,2011,0.29432,6212.49927,Rich,Open defecation
CMR,Cameroon,total,Drinking water,2011,2.25284,91160.11714,Rich,Surface water
CMR,Cameroon,rural,Drinking water,2011,13.60817,263408.62222,Rich,Surface water
CMR,Cameroon,urban,Drinking water,2011,0.57487,12134.43089,Rich,Surface water
CMR,Cameroon,total,Drinking water,2011,9.21165,372745.98538,Rich,Unimproved
CMR,Cameroon,rural,Drinking water,2011,34.11049,660264.83628,Rich,Unimproved
CMR,Cameroon,urban,Drinking water,2011,3.18054,67134.75893,Rich,Unimproved
CMR,Cameroon,total,Sanitation,2011,15.04954,608973.83436,Rich,Unimproved
CMR,Cameroon,rural,Sanitation,2011,64.14273,1241588.37657,Rich,Unimproved
CMR,Cameroon,urban,Sanitation,2011,5.01796,105918.94973,Rich,Unimproved
CMR,Cameroon,total,Drinking water,2014,57.34998,2530268.93527,Middle,At least basic
CMR,Cameroon,rural,Drinking water,2014,40.17879,815858.00452,Middle,At least basic
CMR,Cameroon,urban,Drinking water,2014,84.14499,2003836.89215,Middle,At least basic
CMR,Cameroon,total,Sanitation,2014,33.6125,1482976.50287,Middle,At least basic
CMR,Cameroon,rural,Sanitation,2014,10.05752,204224.80218,Middle,At least basic
CMR,Cameroon,urban,Sanitation,2014,50.28528,1197498.60242,Middle,At least basic
CMR,Cameroon,total,Hygiene,2014,4.40922,194533.76382,Middle,Basic service
CMR,Cameroon,rural,Hygiene,2014,3.48513,70767.93336,Middle,Basic service
CMR,Cameroon,urban,Hygiene,2014,5.98884,142618.83692,Middle,Basic service
CMR,Cameroon,total,Drinking water,2014,13.45605,593677.96822,Middle,Limited service
CMR,Cameroon,rural,Drinking water,2014,9.49096,192720.46281,Middle,Limited service
CMR,Cameroon,urban,Drinking water,2014,11.63407,277054.83454,Middle,Limited service
CMR,Cameroon,total,Hygiene,2014,5.09804,224924.36835,Middle,Limited service
CMR,Cameroon,rural,Hygiene,2014,5.17812,105145.401,Middle,Limited service
CMR,Cameroon,urban,Hygiene,2014,4.70618,112073.49051,Middle,Limited service
CMR,Cameroon,total,Sanitation,2014,21.56738,951548.18481,Middle,Limited service
CMR,Cameroon,rural,Sanitation,2014,4.44207,90199.24681,Middle,Limited service
CMR,Cameroon,urban,Sanitation,2014,40.65661,968200.45731,Middle,Limited service
CMR,Cameroon,total,Hygiene,2014,90.49274,3992520.46783,Middle,No handwashing facility
CMR,Cameroon,rural,Hygiene,2014,91.33675,1854655.66564,Middle,No handwashing facility
CMR,Cameroon,urban,Hygiene,2014,89.30498,2126717.27257,Middle,No handwashing facility
CMR,Cameroon,total,Sanitation,2014,1.75282,77333.91676,Middle,Open defecation
CMR,Cameroon,rural,Sanitation,2014,7.12835,144746.13409,Middle,Open defecation
CMR,Cameroon,urban,Sanitation,2014,0.35979,8568.03908,Middle,Open defecation
CMR,Cameroon,total,Drinking water,2014,8.58106,378594.5634,Middle,Surface water
CMR,Cameroon,rural,Drinking water,2014,15.74082,319628.29624,Middle,Surface water
CMR,Cameroon,urban,Drinking water,2014,1.01132,24083.76386,Middle,Surface water
CMR,Cameroon,total,Drinking water,2014,20.61291,909437.13311,Middle,Unimproved
CMR,Cameroon,rural,Drinking water,2014,34.58943,702362.23643,Middle,Unimproved
CMR,Cameroon,urban,Drinking water,2014,3.20962,76434.10945,Middle,Unimproved
CMR,Cameroon,total,Sanitation,2014,43.0673,1900119.99557,Middle,Unimproved
CMR,Cameroon,rural,Sanitation,2014,78.37206,1591398.81692,Middle,Unimproved
CMR,Cameroon,urban,Sanitation,2014,8.69831,207142.50119,Middle,Unimproved
CMR,Cameroon,total,Drinking water,2014,44.37559,1957841.53442,Poor,At least basic
CMR,Cameroon,rural,Drinking water,2014,41.81455,849073.2837,Poor,At least basic
CMR,Cameroon,urban,Drinking water,2014,76.50554,1821910.38921,Poor,At least basic
CMR,Cameroon,total,Sanitation,2014,10.59854,467605.10973,Poor,At least basic
CMR,Cameroon,rural,Sanitation,2014,5.58019,113309.57951,Poor,At least basic
CMR,Cameroon,urban,Sanitation,2014,50.43481,1201059.35353,Poor,At least basic
CMR,Cameroon,total,Hygiene,2014,3.1686,139798.10098,Poor,Basic service
CMR,Cameroon,rural,Hygiene,2014,3.10962,63143.06129,Poor,Basic service
CMR,Cameroon,urban,Hygiene,2014,6.49031,154560.9732,Poor,Basic service
CMR,Cameroon,total,Drinking water,2014,9.78847,431865.37568,Poor,Limited service
CMR,Cameroon,rural,Drinking water,2014,6.00901,122017.14267,Poor,Limited service
CMR,Cameroon,urban,Drinking water,2014,14.47294,344659.88506,Poor,Limited service
CMR,Cameroon,total,Hygiene,2014,6.06517,267593.9541,Poor,Limited service
CMR,Cameroon,rural,Hygiene,2014,8.14199,165328.68169,Poor,Limited service
CMR,Cameroon,urban,Hygiene,2014,6.00445,142990.47526,Poor,Limited service
CMR,Cameroon,total,Sanitation,2014,5.97349,263548.96998,Poor,Limited service
CMR,Cameroon,rural,Sanitation,2014,0.95467,19385.23827,Poor,Limited service
CMR,Cameroon,urban,Sanitation,2014,35.16775,837488.16601,Poor,Limited service
CMR,Cameroon,total,Hygiene,2014,90.76623,4004586.54492,Poor,No handwashing facility
CMR,Cameroon,rural,Hygiene,2014,88.74839,1802097.25702,Poor,No handwashing facility
CMR,Cameroon,urban,Hygiene,2014,87.50524,2083858.15154,Poor,No handwashing facility
CMR,Cameroon,total,Sanitation,2014,6.97068,307544.96096,Poor,Open defecation
CMR,Cameroon,rural,Sanitation,2014,20.91706,424735.387,Poor,Open defecation
CMR,Cameroon,urban,Sanitation,2014,0.27456,6538.51208,Poor,Open defecation
CMR,Cameroon,total,Drinking water,2014,15.26481,673479.93425,Poor,Surface water
CMR,Cameroon,rural,Drinking water,2014,17.00996,345399.06589,Poor,Surface water
CMR,Cameroon,urban,Drinking water,2014,1.06935,25465.70946,Poor,Surface water
CMR,Cameroon,total,Drinking water,2014,30.57113,1348791.75564,Poor,Unimproved
CMR,Cameroon,rural,Drinking water,2014,35.16647,714079.50773,Poor,Unimproved
CMR,Cameroon,urban,Drinking water,2014,7.95216,189373.61627,Poor,Unimproved
CMR,Cameroon,total,Sanitation,2014,76.4573,3373279.55933,Poor,Unimproved
CMR,Cameroon,rural,Sanitation,2014,72.54808,1473138.79523,Poor,Unimproved
CMR,Cameroon,urban,Sanitation,2014,14.12288,336323.56839,Poor,Unimproved
CMR,Cameroon,total,Drinking water,2014,40.34977,1780223.25489,Poorest,At least basic
CMR,Cameroon,rural,Drinking water,2014,37.47761,761008.64558,Poorest,At least basic
CMR,Cameroon,urban,Drinking water,2014,64.75442,1542068.05263,Poorest,At least basic
CMR,Cameroon,total,Sanitation,2014,4.01269,177039.03997,Poorest,At least basic
CMR,Cameroon,rural,Sanitation,2014,2.39341,48599.79785,Poorest,At least basic
CMR,Cameroon,urban,Sanitation,2014,27.66744,658875.08214,Poorest,At least basic
CMR,Cameroon,total,Hygiene,2014,2.48412,109598.63102,Poorest,Basic service
CMR,Cameroon,rural,Hygiene,2014,1.45265,29497.03574,Poorest,Basic service
CMR,Cameroon,urban,Hygiene,2014,5.99748,142824.44711,Poorest,Basic service
