ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Quintile,Service level
CMR,Cameroon,total,Sanitation,2019,64.92623,3312029.31924,Poorest,Unimproved
CMR,Cameroon,rural,Sanitation,2019,60.53538,1328846.38448,Poorest,Unimproved
CMR,Cameroon,urban,Sanitation,2019,42.76824,1242871.70418,Poorest,Unimproved
CMR,Cameroon,total,Drinking water,2019,84.89738,4330801.14247,Rich,At least basic
CMR,Cameroon,rural,Drinking water,2019,48.20804,1058241.94758,Rich,At least basic
CMR,Cameroon,urban,Drinking water,2019,90.65108,2634377.06686,Rich,At least basic
CMR,Cameroon,total,Sanitation,2019,53.43022,2725592.52297,Rich,At least basic
CMR,Cameroon,rural,Sanitation,2019,33.78502,741634.12543,Rich,At least basic
CMR,Cameroon,urban,Sanitation,2019,65.50067,1903490.43256,Rich,At least basic
CMR,Cameroon,total,Hygiene,2019,41.81812,2133234.01872,Rich,Basic service
CMR,Cameroon,rural,Hygiene,2019,27.14808,595942.84179,Rich,Basic service
CMR,Cameroon,urban,Hygiene,2019,53.24439,1547315.13451,Rich,Basic service
CMR,Cameroon,total,Drinking water,2019,8.95634,456882.26647,Rich,Limited service
CMR,Cameroon,rural,Drinking water,2019,9.62521,211288.33608,Rich,Limited service
CMR,Cameroon,urban,Drinking water,2019,8.53333,247984.0385,Rich,Limited service
CMR,Cameroon,total,Hygiene,2019,54.37859,2773970.94267,Rich,Limited service
CMR,Cameroon,rural,Hygiene,2019,69.54822,1526692.29412,Rich,Limited service
CMR,Cameroon,urban,Hygiene,2019,43.78813,1272510.3397,Rich,Limited service
CMR,Cameroon,total,Sanitation,2019,31.95202,1629942.49315,Rich,Limited service
CMR,Cameroon,rural,Sanitation,2019,7.99719,175550.9057,Rich,Limited service
CMR,Cameroon,urban,Sanitation,2019,29.08986,845369.44367,Rich,Limited service
CMR,Cameroon,total,Hygiene,2019,3.80329,194014.03861,Rich,No handwashing facility
CMR,Cameroon,rural,Hygiene,2019,3.3037,72521.46408,Rich,No handwashing facility
CMR,Cameroon,urban,Hygiene,2019,2.96748,86236.9258,Rich,No handwashing facility
CMR,Cameroon,total,Sanitation,2019,0.14827,7563.36415,Rich,Open defecation
CMR,Cameroon,rural,Sanitation,2019,1.69725,37257.39662,Rich,Open defecation
CMR,Cameroon,urban,Sanitation,2019,0,0,Rich,Open defecation
CMR,Cameroon,total,Drinking water,2019,0.62239,31749.45286,Rich,Surface water
CMR,Cameroon,rural,Drinking water,2019,10.76741,236361.52886,Rich,Surface water
CMR,Cameroon,urban,Drinking water,2019,0.04379,1272.67105,Rich,Surface water
CMR,Cameroon,total,Drinking water,2019,5.5239,281786.1382,Rich,Unimproved
CMR,Cameroon,rural,Drinking water,2019,31.39934,689264.78748,Rich,Unimproved
CMR,Cameroon,urban,Drinking water,2019,0.77179,22428.62359,Rich,Unimproved
CMR,Cameroon,total,Sanitation,2019,14.46949,738120.61973,Rich,Unimproved
CMR,Cameroon,rural,Sanitation,2019,56.52053,1240714.17226,Rich,Unimproved
CMR,Cameroon,urban,Sanitation,2019,5.40947,157202.52377,Rich,Unimproved
